Source,Study_ID,Publication_status,ISO3,Country_Territory,Longitude_decimal_degrees,Latitude_decimal_degrees,Biogeographic_region,Coastal_typology,Mean_diameter_cm,Mean_canopy_heigth_m,Stand_basal_area_m2.ha,Stand_density_stems.ha,Aboveground_biomass_Mg.ha,Number_of_species_in_plot,Notes
Soares et al. 2003,68_23,Published,BRA,Brazil,-43.020833,-22.73125556,Atlantic East Pacific,IV Lagoon,4.37,3.76,9.46,6308,19.17,NA,
Soares et al. 2003,68_24,Published,BRA,Brazil,-43.020833,-22.73125556,Atlantic East Pacific,IV Lagoon,4.47,4,14.12,9000,30.45,NA,
Soares et al. 2003,68_25,Published,BRA,Brazil,-43.020833,-22.73125556,Atlantic East Pacific,IV Lagoon,5.56,6.37,14.61,6019,50.18,NA,
Soares et al. 2003,68_27,Published,BRA,Brazil,-43.020833,-22.73125556,Atlantic East Pacific,IV Lagoon,5.24,4.22,15.75,7302,35.82,NA,
Soares et al. 2003,68_28,Published,BRA,Brazil,-43.032575,-22.75249722,Atlantic East Pacific,IV Lagoon,6.56,4.98,12.84,3800,34.47,NA,
Soares et al. 2003,68_29,Published,BRA,Brazil,-43.032575,-22.75249722,Atlantic East Pacific,IV Lagoon,4.22,3.86,11.7,8364,24.34,NA,
Soares et al. 2003,68_3,Published,BRA,Brazil,-43.108336,-22.687625,Atlantic East Pacific,IV Lagoon,5.16,6.58,17.15,8200,60.82,NA,
Soares et al. 2003,68_30,Published,BRA,Brazil,-43.032575,-22.75249722,Atlantic East Pacific,IV Lagoon,5.95,7.27,14.7,5286,57.59,NA,
Soares et al. 2003,68_31,Published,BRA,Brazil,-43.032575,-22.75249722,Atlantic East Pacific,IV Lagoon,5.14,4.69,17.78,8571,44.96,NA,
Soares et al. 2003,68_4,Published,BRA,Brazil,-43.108336,-22.687625,Atlantic East Pacific,IV Lagoon,6.32,6.16,16,5100,53.12,NA,
Soares et al. 2003,68_6,Published,BRA,Brazil,-43.104506,-22.68424722,Atlantic East Pacific,IV Lagoon,5.54,5.54,27.55,11429,82.27,NA,
Soares et al. 2003,68_7,Published,BRA,Brazil,-43.104506,-22.68424722,Atlantic East Pacific,IV Lagoon,4.31,4.31,8.97,6146,20.83,NA,
Soares et al. 2003,68_8,Published,BRA,Brazil,-43.104506,-22.68424722,Atlantic East Pacific,IV Lagoon,5.44,5.44,11.62,5000,34.08,NA,
Soares et al. 2008,1191_1,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,12,6.8,21.12,1867,77.39,NA,
Soares et al. 2008,1191_10,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,7.1,2.6,13.61,3437,19.07,NA,
Soares et al. 2008,1191_11,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,8.1,5.3,8.15,1581,23.27,NA,
Soares et al. 2008,1191_12,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,5.6,2.7,13.93,5654,20.27,NA,
Soares et al. 2008,1191_13,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,19.9,11,17.42,560,103.27,NA,
Soares et al. 2008,1191_14,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,24.1,13.9,16.51,362,123.72,NA,
Soares et al. 2008,1191_15,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,15.4,7.5,29.41,1579,118.9,NA,
Soares et al. 2008,1191_16,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,10.7,8.2,16.41,1825,72.53,NA,
Soares et al. 2008,1191_17,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,10.1,6.7,20.36,2541,73.52,NA,
Soares et al. 2008,1191_18,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,13.3,6.3,5.68,409,19.3,NA,
Soares et al. 2008,1191_19,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,15.2,6.1,20.94,1154,68.85,NA,
Soares et al. 2008,1191_2,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,5.6,4.6,9.85,4000,24.43,NA,
Soares et al. 2008,1191_20,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,7.2,5.3,14.12,3467,40.32,NA,
Soares et al. 2008,1191_21,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,3.3,2.7,19.3,22571,28.09,NA,
Soares et al. 2008,1191_22,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,1.5,1.1,18.11,102500,10.74,NA,
Soares et al. 2008,1191_23,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,7.8,6,10.35,2167,33.49,NA,
Soares et al. 2008,1191_24,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,2.2,1.5,19.22,50555,15.54,NA,
Soares et al. 2008,1191_25,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,21.2,9.5,23.83,675,122.01,NA,
Soares et al. 2008,1191_26,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,6.7,4.4,31.3,8877,74.22,NA,
Soares et al. 2008,1191_27,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,7.7,5.3,23.28,5000,66.51,NA,
Soares et al. 2008,1191_3,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,8.6,4.1,31.26,5381,69.08,NA,
Soares et al. 2008,1191_4,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,2.4,2.2,10.1,22333,11.98,NA,
Soares et al. 2008,1191_5,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,2,0.7,NA,8,NA,NA,
Soares et al. 2008,1191_6,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,19,8.7,28.35,1000,132.96,NA,
Soares et al. 2008,1191_7,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,10.2,5.9,23.35,2857,74.24,NA,
Soares et al. 2008,1191_8,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,15.8,8.5,18.74,956,85.88,NA,
Soares et al. 2008,1191_9,Published,BRA,Brazil,-39.324269,-17.78958611,Atlantic East Pacific,III Tidal system,7,5.6,9.74,2532,29.41,NA,
Soares et al. 2012,1192_1,Published,BRA,Brazil,-48.861111,-28.47611111,Atlantic East Pacific,III Tidal system,2.4,3.16,30,65500,51.1,2,
Soares et al. 2012,1192_2,Published,BRA,Brazil,-48.861111,-28.47611111,Atlantic East Pacific,III Tidal system,3.08,3.33,23.19,31200,41.63,2,
Soares et al. 2012,1192_3,Published,BRA,Brazil,-48.861111,-28.47611111,Atlantic East Pacific,III Tidal system,2.33,2.62,29.96,70400,42.31,2,
Soper et al. 2019,3039_1,Published,USA,United States_Hawaii,-157.077535,21.100854,Atlantic East Pacific,II Small delta,10.61,3.7,37.96,4292,253.51,1,
Soper et al. 2019,3039_2,Published,USA,United States_Hawaii,-157.077535,21.100854,Atlantic East Pacific,II Small delta,10.58,NA,38.61,4390,265.57,1,
Soper et al. 2019,3039_3,Published,USA,United States_Hawaii,-157.077535,21.100854,Atlantic East Pacific,II Small delta,10.7,4.3,40.99,4558,277.7,1,
Soper et al. 2019,3039_4,Published,USA,United States_Hawaii,-157.077535,21.100854,Atlantic East Pacific,II Small delta,10.98,4.8,50.56,5338,250.63,1,
Soper et al. 2019,3039_5,Published,USA,United States_Hawaii,-157.077535,21.100854,Atlantic East Pacific,II Small delta,10.87,6.4,56.91,6132,255.9,1,
Soper et al. 2019,3039_6,Published,USA,United States_Hawaii,-157.077535,21.100854,Atlantic East Pacific,II Small delta,10.65,4.6,75.89,8520,467.91,1,
Soper et al. 2019,3039_7,Published,USA,United States_Hawaii,-157.077535,21.100854,Atlantic East Pacific,II Small delta,10.8,5.7,54.48,5948,312.66,1,
Soper et al. 2019,3039_8,Published,USA,United States_Hawaii,-157.077535,21.100854,Atlantic East Pacific,II Small delta,10.73,6.7,48.13,5322,282.87,1,
Soper et al. 2019,3039_9,Published,USA,United States_Hawaii,-157.077535,21.100854,Atlantic East Pacific,II Small delta,10.91,6.1,48.69,5208,247.12,1,
Souza & Sampaio 2001,1193_1,Published,BRA,Brazil,-34.983622,-8.41028056,Atlantic East Pacific,III Tidal system,17,16.3,20.8,917,182.74,1,
Souza & Sampaio 2001,1193_2,Published,BRA,Brazil,-34.983622,-8.41028056,Atlantic East Pacific,III Tidal system,23.25,14.2,60.8,1433,465.35,1,
Souza & Sampaio 2001,1193_3,Published,BRA,Brazil,-34.983622,-8.41028056,Atlantic East Pacific,III Tidal system,19.77,11.4,44.5,1450,273.43,1,
Souza & Sampaio 2001,1193_4,Published,BRA,Brazil,-34.983622,-8.41028056,Atlantic East Pacific,III Tidal system,10.17,7.7,13,1600,53.95,4,
Souza & Sampaio 2001,1193_5,Published,BRA,Brazil,-34.983622,-8.41028056,Atlantic East Pacific,III Tidal system,6.31,6.9,12.7,4060,47.23,2,
Souza & Sampaio 2001,1193_6,Published,BRA,Brazil,-34.983622,-8.41028056,Atlantic East Pacific,III Tidal system,6.17,6.7,17,5683,61.39,3,
Souza 1996,1195_12,Published,BRA,Brazil,-34.992778,-8.39361111,Atlantic East Pacific,III Tidal system,5.7,6.3,17,5683,57.73,3,
Souza 1996,1195_14,Published,BRA,Brazil,-34.992778,-8.39361111,Atlantic East Pacific,III Tidal system,3.6,6.6,13.9,11850,49.45,2,
Souza 1996,1195_15,Published,BRA,Brazil,-34.992778,-8.39361111,Atlantic East Pacific,III Tidal system,19.4,11.4,44.5,1450,273.43,1,
Souza 1996,1195_2,Published,BRA,Brazil,-34.992778,-8.39361111,Atlantic East Pacific,III Tidal system,16.7,16,20.85,916,179.81,1,
Souza 1996,1195_3,Published,BRA,Brazil,-34.992778,-8.39361111,Atlantic East Pacific,III Tidal system,12.4,11.6,13,1600,81.28,4,
Souza 1996,1195_6,Published,BRA,Brazil,-34.992778,-8.39361111,Atlantic East Pacific,III Tidal system,5.7,7,12.7,4066,47.92,2,
Souza 1996,1195_7,Published,BRA,Brazil,-34.992778,-8.39361111,Atlantic East Pacific,III Tidal system,23.6,14.7,60.8,1433,481.74,1,
Souza 1996,1195_8,Published,BRA,Brazil,-34.992778,-8.39361111,Atlantic East Pacific,III Tidal system,4,6.7,7,5450,25.28,2,
Souza 1996,1195_9,Published,BRA,Brazil,-34.992778,-8.39361111,Atlantic East Pacific,III Tidal system,4.8,5.4,16,7150,46.57,2,
Souza 2016,1196_3,Published,BRA,Brazil,-40.020236,-2.84235833,Atlantic East Pacific,III Tidal system,3.02,2.47,5.43,7564,7.23,NA,
Souza 2016,1196_5,Published,BRA,Brazil,-39.728667,-2.99945556,Atlantic East Pacific,II Small delta,4.77,3.38,8.26,4624,15.03,NA,
Souza 2016,1196_6,Published,BRA,Brazil,-39.707344,-3.0018,Atlantic East Pacific,II Small delta,3.26,1.79,6.37,7622,6.15,NA,
Souza et al. 1993,1194_1,Published,BRA,Brazil,-48.542222,-27.45527778,Atlantic East Pacific,III Tidal system,5.99,NA,19.75,7000,NA,2,
Souza et al. 1993,1194_2,Published,BRA,Brazil,-48.542222,-27.45527778,Atlantic East Pacific,III Tidal system,2.55,NA,17.75,35334,NA,3,
Souza et al. 1993,1194_3,Published,BRA,Brazil,-48.542222,-27.45527778,Atlantic East Pacific,III Tidal system,5.08,NA,15.14,7466,NA,2,
Souza et al. 1993,1194_4,Published,BRA,Brazil,-48.542222,-27.45527778,Atlantic East Pacific,III Tidal system,5.53,NA,12.98,5400,NA,3,
Souza et al. 1993,1194_5,Published,BRA,Brazil,-48.542222,-27.45527778,Atlantic East Pacific,III Tidal system,7.36,NA,11.9,2800,NA,3,
Souza et al. 1994,1197_1,Published,BRA,Brazil,-48.531119,-27.65436944,Atlantic East Pacific,III Tidal system,8.49,5.68,20.01,2190,61.26,2,
Souza et al. 1994,1197_2,Published,BRA,Brazil,-48.531119,-27.65436944,Atlantic East Pacific,III Tidal system,6.03,4.22,11.67,3517,26.54,3,
Souza et al. 1994,1197_3,Published,BRA,Brazil,-48.531119,-27.65436944,Atlantic East Pacific,III Tidal system,4.81,3.28,7.72,5599,13.65,3,
Souza et al. 1994,1197_4,Published,BRA,Brazil,-48.531119,-27.65436944,Atlantic East Pacific,III Tidal system,6.84,4.35,7.34,4009,17.21,3,
Souza et al. 1994,1197_5,Published,BRA,Brazil,-48.531119,-27.65436944,Atlantic East Pacific,III Tidal system,5.75,4.46,12.11,1383,29.11,3,
Souza et al. 1996,1195_1,Published,BRA,Brazil,-38.625,-12.70833333,Atlantic East Pacific,III Tidal system,4.14,3.1,10.57,7867,17.67,3,
Srisunont et al. 2017,3064_1,Published,THA,Thailand,99.973448,13.316314,Indo West Pacific,II Small delta,10.7,NA,14.38,1600,NA,2,
Srisunont et al. 2017,3064_2,Published,THA,Thailand,99.979799,13.319219,Indo West Pacific,II Small delta,13.4,NA,14.1,1000,NA,2,
Srisunont et al. 2017,3064_3,Published,THA,Thailand,99.979145,13.320463,Indo West Pacific,II Small delta,17.1,NA,64.27,2800,NA,2,
Srisunont et al. 2017,3064_4,Published,THA,Thailand,99.981373,13.32235,Indo West Pacific,II Small delta,10.5,NA,15.58,1800,NA,2,
Srisunont et al. 2017,3064_5,Published,THA,Thailand,99.982507,13.322535,Indo West Pacific,II Small delta,17.8,NA,49.74,2000,NA,2,
Srisunont et al. 2017,3064_6,Published,THA,Thailand,99.98403,13.323877,Indo West Pacific,II Small delta,13.4,NA,14.1,1000,NA,2,
Steinke & Charles 1986,25_1,Published,ZAF,South Africa,31.042867,-29.800679,Indo West Pacific,II Small delta,NA,8,NA,NA,NA,1,
Steinke & Charles 1986,25_2,Published,ZAF,South Africa,31.042867,-29.800679,Indo West Pacific,II Small delta,NA,5,NA,NA,NA,1,
Steinke et al. 1995,85,Published,FSM,Micronesia,162.942707,5.328561,Indo West Pacific,II Small delta,49.6,40.8,22.4,116,129.5,2,
Steyer 1988,12_1,Published,USA,United States,-81.754069,26.027759,Atlantic East Pacific,IV Lagoon,8.21,4.6,19.02,3592,56,3,
Steyer 1988,12_2,Published,USA,United States,-81.754069,26.027759,Atlantic East Pacific,IV Lagoon,7.14,5.2,11.06,2764,31,1,
Stringer et al. 2015,501_1,Published,MOZ,Mozambique,36.26034,-18.830096,Indo West Pacific,I Large river,NA,NA,NA,NA,75.4,8,
Stringer et al. 2015,501_2,Published,MOZ,Mozambique,36.26034,-18.830096,Indo West Pacific,I Large river,NA,NA,NA,NA,115.9,8,
Stringer et al. 2015,501_3,Published,MOZ,Mozambique,36.26034,-18.830096,Indo West Pacific,I Large river,NA,NA,NA,NA,152.5,8,
Stringer et al. 2015,501_4,Published,MOZ,Mozambique,36.26034,-18.830096,Indo West Pacific,I Large river,NA,NA,NA,NA,206,8,
Stringer et al. 2015,501_5,Published,MOZ,Mozambique,36.26034,-18.830096,Indo West Pacific,I Large river,NA,NA,NA,NA,268.5,8,
Tam et al. 1995,75,Published,HKG,Hong Kong,114.081586,22.517367,Indo West Pacific,III Tidal system,1.69,4.13,0.47,2111,87.14,3,
Tamai et al. 1986,571,Published,THA,Thailand,98.582181,9.872786,Indo West Pacific,III Tidal system,10.9,10.64,23.97,1246,281.17,12,
Tamooh et al. 2008,109_1,Published,KEN,Kenya,39.533637,-4.418374,Indo West Pacific,IV Lagoon,7.79,NA,17,3567,NA,1,
Tamooh et al. 2008,109_2,Published,KEN,Kenya,39.533637,-4.418374,Indo West Pacific,IV Lagoon,2.51,NA,2.3,4650,NA,1,
Tamooh et al. 2008,109_3,Published,KEN,Kenya,39.533637,-4.418374,Indo West Pacific,IV Lagoon,8.09,NA,19.5,3800,NA,1,
Tamooh et al. 2008,109_4,Published,KEN,Kenya,39.513001,-4.415916,Indo West Pacific,IV Lagoon,8.12,NA,16.2,3133,NA,1,
Tamooh et al. 2008,109_5,Published,KEN,Kenya,39.513001,-4.415916,Indo West Pacific,IV Lagoon,5.86,NA,11.6,4300,NA,1,
Tamooh et al. 2008,109_6,Published,KEN,Kenya,39.511556,-4.419945,Indo West Pacific,IV Lagoon,8.13,NA,15.9,3067,NA,1,
Tamooh et al. 2008,109_7,Published,KEN,Kenya,39.511556,-4.419945,Indo West Pacific,IV Lagoon,8.35,NA,12.6,2300,NA,1,
Tamooh et al. 2008,109_8,Published,KEN,Kenya,39.511556,-4.419945,Indo West Pacific,IV Lagoon,6.05,NA,22.7,7900,NA,1,
Tanouchi et al. 2000,580_1,Published,MYS,Malaysia,100.624605,4.832431,Indo West Pacific,III Tidal system,27.56,26.09,28.67,481,557.8,5,
Tanouchi et al. 2000,580_2,Published,MYS,Malaysia,100.624605,4.832431,Indo West Pacific,III Tidal system,17.98,18.37,18.82,741,387.8,5,
Tanouchi et al. 2000,580_3,Published,MYS,Malaysia,100.624605,4.832431,Indo West Pacific,III Tidal system,14.88,17.5,15.7,902,302.4,5,
Tanouchi et al. 2000,580_4,Published,MYS,Malaysia,100.624605,4.832431,Indo West Pacific,III Tidal system,15.63,17.83,16.55,862,289,5,
Tanouchi et al. 2000,580_5,Published,MYS,Malaysia,100.624605,4.832431,Indo West Pacific,III Tidal system,16.57,18.15,17.79,825,244,5,
Tanouchi et al. 2000,580_6,Published,MYS,Malaysia,100.624605,4.832431,Indo West Pacific,III Tidal system,16.67,18.48,17.99,825,301.8,5,
Tanouchi et al. 2000,580_7,Published,MYS,Malaysia,100.624605,4.832431,Indo West Pacific,III Tidal system,15.26,18.59,16.56,905,257.4,5,
Tanouchi et al. 2000,580_8,Published,MYS,Malaysia,100.624605,4.832431,Indo West Pacific,III Tidal system,14.04,15.76,8.78,567,143.9,5,
Tanouchi et al. 2000,580_9,Published,MYS,Malaysia,100.624605,4.832431,Indo West Pacific,III Tidal system,18.48,18.48,24.28,905,359.1,5,
T???lez-Garc??? & Valdez-Hern???dez 2012,1199,Published,MEX,Mexico,-104.032358,18.8997,Atlantic East Pacific,II Small delta,18.5,11.8,15.63,2220,99.41,NA,
Thivakaran et al. 2018,3025_1,Published,IND,India,69.191726,22.411477,Indo West Pacific,III Tidal system,5.29,1.9,3.44,1567,36.3,1,
Thivakaran et al. 2018,3025_10,Published,IND,India,68.602323,23.303878,Indo West Pacific,III Tidal system,6.61,2.07,9.87,2877,216.8,1,
Thivakaran et al. 2018,3025_2,Published,IND,India,69.167354,22.291406,Indo West Pacific,III Tidal system,5.57,1.87,6.68,2742,80.4,1,
Thivakaran et al. 2018,3025_3,Published,IND,India,69.731227,22.456926,Indo West Pacific,III Tidal system,5.14,1.8,4.37,2107,105.3,1,
Thivakaran et al. 2018,3025_4,Published,IND,India,69.951275,22.520288,Indo West Pacific,III Tidal system,6.28,1.59,5.47,1766,52.79,2,
Thivakaran et al. 2018,3025_5,Published,IND,India,69.642717,22.428341,Indo West Pacific,III Tidal system,6.17,2.28,5.88,1969,73.51,3,
Thivakaran et al. 2018,3025_6,Published,IND,India,70.267575,22.725359,Indo West Pacific,III Tidal system,4.27,1.66,3.6,2513,24.1,1,
Thivakaran et al. 2018,3025_7,Published,IND,India,70.267575,22.725359,Indo West Pacific,III Tidal system,3.32,1.3,1.88,2178,10.1,1,
Thivakaran et al. 2018,3025_8,Published,IND,India,70.207549,22.984974,Indo West Pacific,III Tidal system,4.51,1.61,3.58,2243,30.3,1,
Thivakaran et al. 2018,3025_9,Published,IND,India,69.714119,22.755995,Indo West Pacific,III Tidal system,5.98,2.12,10.13,3608,101.89,3,
Tognella-de-Rosa 2012,1200_1,Published,BRA,Brazil,-48.635,-26.99083333,Atlantic East Pacific,III Tidal system,9.61,NA,58,8000,NA,1,
Tognella-de-Rosa 2012,1200_2,Published,BRA,Brazil,-48.635,-26.99083333,Atlantic East Pacific,III Tidal system,10.25,NA,23.1,2800,NA,1,
Tognella-de-Rosa 2012,1200_3,Published,BRA,Brazil,-48.635,-26.99083333,Atlantic East Pacific,III Tidal system,9.81,NA,45.37,6000,NA,2,
Tognella-de-Rosa 2012,1200_4,Published,BRA,Brazil,-48.635,-26.99083333,Atlantic East Pacific,III Tidal system,8.05,NA,28,5500,NA,1,
Tognella-de-Rosa et al. 2006,1201_1,Published,BRA,Brazil,-48.658889,-26.77222222,Atlantic East Pacific,III Tidal system,3.2,3,21.2,16400,34.28,NA,
Tognella-de-Rosa et al. 2006,1201_2,Published,BRA,Brazil,-48.658889,-26.77222222,Atlantic East Pacific,III Tidal system,2.5,1.8,11.8,4800,11.45,NA,
Tognella-de-Rosa et al. 2006,1201_3,Published,BRA,Brazil,-48.658889,-26.77222222,Atlantic East Pacific,III Tidal system,3.4,2.9,8.7,8300,13.6,NA,
Tognella-de-Rosa et al. 2006,1201_4,Published,BRA,Brazil,-48.658889,-26.77222222,Atlantic East Pacific,III Tidal system,3.9,1.3,2.4,1800,1.68,NA,
Tognella-de-Rosa et al. 2006,1201_5,Published,BRA,Brazil,-48.658889,-26.77222222,Atlantic East Pacific,III Tidal system,3.2,3.2,5.4,6800,9.31,NA,
Torres et al. 2017,3019_1,Published,MEX,Mexico,-93.133197,18.435432,Atlantic East Pacific,IV Lagoon,10.75,11.42,19.61,2160,120.7,3,
Torres et al. 2017,3019_2,Published,MEX,Mexico,-93.13446,18.416201,Atlantic East Pacific,IV Lagoon,7.5,11.47,18.79,4255,116.2,3,
Torres et al. 2017,3019_3,Published,MEX,Mexico,-93.175096,18.390219,Atlantic East Pacific,IV Lagoon,7.92,10.25,17.19,3490,94.9,2,
Torres et al. 2017,3019_4,Published,MEX,Mexico,-93.148824,18.369464,Atlantic East Pacific,IV Lagoon,9.48,11.86,20.19,2860,129,2,
Torres et al. 2017,3019_5,Published,MEX,Mexico,-93.078961,18.374905,Atlantic East Pacific,IV Lagoon,10.26,11.23,17.94,2170,108.6,2,
Torres et al. 2017,3019_6,Published,MEX,Mexico,-93.086789,18.409021,Atlantic East Pacific,IV Lagoon,15.37,10.32,41.7,2250,232,2,
Trettin et al. 2017,3029_1,Published,TZA,Tanzania,39.32183,-7.786217,Indo West Pacific,II Small delta,6.24,4.86,0.57,174,2.61,1,
Trettin et al. 2017,3029_10,Published,TZA,Tanzania,39.300607,-7.787997,Indo West Pacific,II Small delta,13.41,11.24,21.98,1047,190.87,3,
Trettin et al. 2017,3029_11,Published,TZA,Tanzania,39.369734,-7.790868,Indo West Pacific,II Small delta,10.09,6.79,12.21,1246,128,1,
Trettin et al. 2017,3029_12,Published,TZA,Tanzania,39.300607,-7.799883,Indo West Pacific,II Small delta,15.53,10.64,21.1,802,266.94,1,
Trettin et al. 2017,3029_13,Published,TZA,Tanzania,39.295053,-7.801661,Indo West Pacific,II Small delta,10.84,8.42,18.42,1521,157.01,3,
Trettin et al. 2017,3029_14,Published,TZA,Tanzania,39.31884,-7.807884,Indo West Pacific,II Small delta,9.64,7.67,21.6,2418,208.36,1,
Trettin et al. 2017,3029_15,Published,TZA,Tanzania,39.334681,-7.813454,Indo West Pacific,II Small delta,10.15,6.05,10.52,1221,99.42,1,
Trettin et al. 2017,3029_16,Published,TZA,Tanzania,39.322083,-7.828303,Indo West Pacific,II Small delta,9.83,7.53,10.36,947,87.18,1,
Trettin et al. 2017,3029_17,Published,TZA,Tanzania,39.270828,-7.83765,Indo West Pacific,II Small delta,11.42,6.39,4.48,399,45.43,1,
Trettin et al. 2017,3029_18,Published,TZA,Tanzania,39.319852,-7.85189,Indo West Pacific,II Small delta,14.43,10.65,17.64,848,163.52,1,
Trettin et al. 2017,3029_19,Published,TZA,Tanzania,39.291276,-7.765002,Indo West Pacific,II Small delta,11.35,6.86,7.63,499,83.94,1,
Trettin et al. 2017,3029_2,Published,TZA,Tanzania,39.289323,-7.805889,Indo West Pacific,II Small delta,18.94,19.7,16.01,449,120.59,1,
Trettin et al. 2017,3029_20,Published,TZA,Tanzania,39.284373,-7.782773,Indo West Pacific,II Small delta,8.04,6.94,8.29,1097,69.07,3,
Trettin et al. 2017,3029_21,Published,TZA,Tanzania,39.300623,-7.794873,Indo West Pacific,II Small delta,18.23,12.59,45.8,1263,498.78,2,
Trettin et al. 2017,3029_22,Published,TZA,Tanzania,39.359471,-7.799935,Indo West Pacific,II Small delta,12.44,9.3,16.31,997,136.7,2,
Trettin et al. 2017,3029_23,Published,TZA,Tanzania,39.276501,-7.803327,Indo West Pacific,II Small delta,14.01,12.2,17.46,798,185.16,1,
Trettin et al. 2017,3029_24,Published,TZA,Tanzania,39.353932,-7.81566,Indo West Pacific,II Small delta,12.11,8.56,18.53,1072,215.4,1,
Trettin et al. 2017,3029_25,Published,TZA,Tanzania,39.356946,-7.817536,Indo West Pacific,II Small delta,11.1,7.77,18.82,1446,163.62,2,
Trettin et al. 2017,3029_26,Published,TZA,Tanzania,39.324718,-7.825313,Indo West Pacific,II Small delta,9.7,7.93,9.07,922,93.88,1,
Trettin et al. 2017,3029_27,Published,TZA,Tanzania,39.336653,-7.838843,Indo West Pacific,II Small delta,13.5,10.4,11.81,598,90.29,1,
Trettin et al. 2017,3029_28,Published,TZA,Tanzania,39.374205,-7.790904,Indo West Pacific,II Small delta,28.47,16.86,23.57,349,186.31,1,
Trettin et al. 2017,3029_29,Published,TZA,Tanzania,39.350342,-7.805975,Indo West Pacific,II Small delta,14.71,10.2,49.36,1197,417.42,3,
Trettin et al. 2017,3029_3,Published,TZA,Tanzania,39.352697,-7.817306,Indo West Pacific,II Small delta,8.58,6.52,18.5,2817,157.77,1,
Trettin et al. 2017,3029_30,Published,TZA,Tanzania,39.308245,-7.811343,Indo West Pacific,II Small delta,13.02,9.39,14.72,872,161.28,2,
Trettin et al. 2017,3029_31,Published,TZA,Tanzania,39.296719,-7.818324,Indo West Pacific,II Small delta,27.1,11.94,38.14,421,464.53,2,
Trettin et al. 2017,3029_32,Published,TZA,Tanzania,39.337592,-7.822442,Indo West Pacific,II Small delta,11.47,9.37,15.78,1022,169.98,1,
Trettin et al. 2017,3029_33,Published,TZA,Tanzania,39.297231,-7.826875,Indo West Pacific,II Small delta,12.34,14.51,11.85,623,100.74,1,
Trettin et al. 2017,3029_34,Published,TZA,Tanzania,39.338839,-7.846511,Indo West Pacific,II Small delta,16.66,11.23,29.03,1072,394.81,1,
Trettin et al. 2017,3029_35,Published,TZA,Tanzania,39.237177,-7.857204,Indo West Pacific,II Small delta,15.82,10,5.08,150,41.15,3,
Trettin et al. 2017,3029_36,Published,TZA,Tanzania,39.295608,-7.795329,Indo West Pacific,II Small delta,20.85,15.62,23.12,548,184.99,1,
Trettin et al. 2017,3029_37,Published,TZA,Tanzania,39.302273,-7.819879,Indo West Pacific,II Small delta,16.61,14.72,34.4,897,307.82,1,
Trettin et al. 2017,3029_38,Published,TZA,Tanzania,39.302886,-7.82622,Indo West Pacific,II Small delta,26.99,16.77,36.5,461,321.17,1,
Trettin et al. 2017,3029_39,Published,TZA,Tanzania,39.238495,-7.851313,Indo West Pacific,II Small delta,11.84,11.16,14.56,1047,152.63,2,
Trettin et al. 2017,3029_4,Published,TZA,Tanzania,39.335235,-7.773308,Indo West Pacific,II Small delta,8.18,6.96,4.88,748,46.95,1,
Trettin et al. 2017,3029_40,Published,TZA,Tanzania,39.298895,-7.851581,Indo West Pacific,II Small delta,16.98,11.2,14.76,461,116.15,1,
