Lat,Lon,Height
11.8,122.2,9.7
24.483,124.217,6.3
24.483,124.217,8.9
24.483,124.217,10.1
24.483,124.217,9.5
19.61,110.806,5.2
19.952,110.578,2.83
18.248,109.608,2.66
18.43,109.982,1.49
19.909,109.987,2.31
19.767,109.256,4.86
19.855,109.55,3.5
4.128,98.527,7.8
4.128,98.527,7.4
4.128,98.527,6.9
4.128,98.527,6
4.128,98.527,7.1
