Lat,Lon,Height
22.721,113.765,5
24.393,117.903,8
19.883,110.617,17
21.467,109.717,12
21.467,109.717,12
21.467,109.717,12
21.467,109.717,12
21.467,109.717,12
21.467,109.717,12
22.519,114.024,9
26.183,127.667,4
26.183,127.667,4
26.183,127.667,4
25.135,121.459,13
23.934,120.314,12
23.934,120.314,12
23.119,120.089,9
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
22.502,114.031,14
-8.394,114.627,9
-8.396,114.629,9
-8.394,114.632,7
-8.392,114.627,11
-8.394,114.631,10
-8.394,114.629,10
26.183,127.667,4
-7.66,109.03,5
4.833,100.583,19
4.833,100.6,16
25.487,-80.343,8
25.472,-80.345,6
6.213,102.179,15
22.519,114.024,9
12.2,102.5,15
12.2,102.5,15
12.2,102.5,15
21.688,88.338,14
21.688,88.338,14
21.688,88.338,14
21.688,88.338,14
21.636,88.33,14
21.636,88.33,14
21.716,88.296,8
21.716,88.296,8
21.868,88.643,7
21.868,88.643,7
21.68,88.635,2
19.167,-69.632,11
19.167,-69.635,10
19.168,-69.638,10
19.168,-69.64,10
19.17,-69.649,13
19.17,-69.651,12
19.171,-69.652,15
19.171,-69.654,18
19.171,-69.655,20
19.171,-69.656,20
19.172,-69.658,19
19.172,-69.66,18
19.172,-69.661,16
19.173,-69.663,11
19.128,-69.64,13
19.128,-69.642,10
19.128,-69.644,12
19.127,-69.646,14
19.126,-69.649,19
19.126,-69.65,20
19.126,-69.652,24
19.125,-69.653,26
19.125,-69.655,19
20.953,110.176,18
21.003,110.198,15
20.979,110.178,16
20.909,110.177,16
11.766,75.478,13
11.767,75.486,18
11.763,75.515,13
-32.875,151.75,12
-33.5,151.5,15
12.183,102.567,15
12.183,102.567,15
12.183,102.567,15
12.183,102.567,15
13.057,100.094,6
13.058,100.09,5
8.825,105.192,8
8.834,105.244,8
8.832,105.216,5
-5.551,105.075,18
-5.537,105.146,18
-5.707,105.266,14
-4.234,119.603,21
-0.008,103.809,5
-0.008,103.809,5
-0.008,103.809,5
-0.008,103.809,5
-0.008,103.809,5
-0.008,103.809,5
-18.836,36.276,18
-18.836,36.276,18
-18.836,36.276,18
-18.836,36.276,18
-18.836,36.276,18
25.191,-80.646,7
-27.401,153.136,15
-27.401,153.136,15
-27.401,153.136,15
-5.759,-35.211,11
-33.816,151.139,20
-33.816,151.139,20
11.068,122.957,16
11.824,122.146,12
-7.812,-34.828,16
-23,-44,17
-4.413,39.51,7
-4.419,39.515,7
9.903,98.567,16
-29.8,31.05,5
-26.197,-48.745,24
-26.195,-48.733,28
-26.192,-48.723,26
9.35,-82.25,35
9.35,-82.25,35
9.35,-82.25,35
9.35,-82.25,35
9.896,118.739,9
9.927,118.761,15
9.942,118.799,13
9.813,118.755,17
9.835,118.744,15
9.814,118.763,15
6.753,99.852,19
1.284,-78.906,25
0.611,-80.016,22
0.362,-80.038,14
-0.635,-80.419,15
23.62,58.481,6
8.709,104.821,11
8.709,104.82,14
8.708,104.82,14
-13.553,48.452,8
-13.574,48.445,6
-13.561,48.461,4
27.86,-97.08,4
27.86,-97.08,4
-4.477,-37.779,10
-4.449,-37.786,15
-4.539,-37.782,10
-2.869,-40.145,17
-2.844,-40.134,22
-2.85,-40.031,13
-2.393,104.76,16
-2.384,104.789,15
-2.368,104.81,24
-2.346,104.833,14
-2.315,104.843,16
11.743,122.387,16
11.743,122.387,16
10.793,122.706,3
10.793,122.706,3
10.762,122.624,7
10.838,122.784,5
24.483,124.217,28
4.867,-52.317,21
4.867,-52.317,21
5.425,-52.917,1
5.425,-52.917,1
4.867,-52.317,21
5.5,-53.167,11
5.425,-52.917,1
20.483,86.69,11
20.483,86.688,4
20.48,86.726,10
20.479,86.728,10
20.382,86.735,11
20.379,86.734,10
-20.717,116.617,0
-20.333,118.617,2
-22.317,114.117,0
-20.717,116.617,0
-20.333,118.617,2
-21.967,113.95,0
-5.817,110.45,19
-5.817,110.45,19
-5.817,110.45,19
11.8,122.2,7
11.8,122.2,7
11.8,122.2,7
11.8,122.2,7
24.483,124.217,28
24.483,124.217,28
24.483,124.217,28
24.483,124.217,28
19.61,110.806,20
19.952,110.578,12
18.248,109.608,25
18.43,109.982,12
19.909,109.987,9
19.767,109.256,8
19.855,109.55,4
4.128,98.527,41
4.128,98.527,41
4.128,98.527,41
4.128,98.527,41
4.128,98.527,41
