Lat,Lon,Height
25.191,-80.646,0
-27.401,153.136,2
-27.401,153.136,2
-27.401,153.136,2
-5.759,-35.211,1
-33.816,151.139,14
-33.816,151.139,14
11.068,122.957,9
11.824,122.146,0
-7.812,-34.828,7
-23.0,-44.0,6
-4.413,39.51,6
-4.419,39.515,7
9.903,98.567,16
-29.8,31.05,1
-26.197,-48.745,16
-26.195,-48.733,20
-26.192,-48.723,20
9.35,-82.25,28
9.35,-82.25,28
9.35,-82.25,28
9.35,-82.25,28
9.896,118.739,15
9.927,118.761,14
9.942,118.799,11
9.813,118.755,15
9.835,118.744,5
9.814,118.763,7
6.753,99.852,11
1.284,-78.906,12
0.611,-80.016,0
0.362,-80.038,1
-0.635,-80.419,0
23.62,58.481,1
8.709,104.821,5
8.709,104.82,7
8.708,104.82,8
-13.553,48.452,9
-13.574,48.445,2
-13.561,48.461,0
27.86,-97.08,0
