FID,CLSFID,ID_Country,ORIG_FID,Lat,Lon
11235,11045,11045 Australia,11235,-37.876077004199999,144.897046230000001
11236,11046,11046 Australia,11236,-37.982794259199999,145.049906418999996
11237,11049,11049 Australia,11237,-38.384015034900003,145.170077386999992
11238,11047,11047 Australia,11238,-38.151840206599999,145.125389100999996
11239,11048,11048 Australia,11239,-38.229257617000002,145.071313094999994
11240,11050,11050 Australia,11240,-38.787903507800003,145.860928016999992
11241,11051,11051 Australia,11241,-38.902036645099997,146.322953759999990
11242,11052,11052 Australia,11242,-38.673883662000001,146.649091391000013
11243,11053,11053 Australia,11243,-38.010606272399997,147.709642715000001
11244,11055,11055 Australia,11244,-37.794980533800000,148.968463165999992
11245,11057,11057 Australia,11245,-37.794646646300002,149.288566011999990
11246,11809,11809 Australia,11246,-38.387865083000001,145.404363834999998
11247,11810,11810 Australia,11247,-38.522442479299997,145.241463220000014
11248,11758,11758 Australia,11248,-40.065172868799998,144.051630576999997
11249,11759,11759 Australia,11249,-39.672930346999998,143.927148538000012
11250,11760,11760 Australia,11250,-39.954628505999999,143.866761378000007
11251,11835,11835 Australia,11251,-40.059578648200002,147.962269115999987
11252,11813,11813 Australia,11252,-40.644042262100001,144.962602373999999
11253,11814,11814 Australia,11253,-40.810276026700002,145.080383304999998
11254,11818,11818 Australia,11254,-42.377567614999997,145.540036234000013
11255,11815,11815 Australia,11255,-41.168334956400003,146.859130862999990
11256,11816,11816 Australia,11256,-42.896520859600002,147.344181536000008
11257,11817,11817 Australia,11257,-43.303677873900000,147.087149807999992
11258,11836,11836 Australia,11258,-40.438626243999998,148.239059494999992
11259,11837,11837 Australia,11259,-43.151997136699997,147.408554747000011
11260,11838,11838 Australia,11260,-43.342925633000000,147.202901840999999
11261,11841,11841 Australia,11261,-42.671484360699999,148.093185419000008
11262,12038,12038 Australia,11262,-54.630432412099999,158.923511012999995
11263,8015,8015 Chile,11263,-27.150453535200000,-109.328736974999998
11264,1208,"1208 Congo, Dem Rep",11264,-5.911944368140000,12.722637172400001
11265,1209,"1209 Congo, Dem Rep",11265,-5.862748840080000,13.143398281000000
11266,9787,9787 France,11266,-46.462423573800002,52.203681203499997
11267,1335,1335 Mozambique,11267,-10.751230724499999,40.535615992200000
11268,1324,1324 Mozambique,11268,-14.994132498999999,40.760135658000003
11269,1325,1325 Mozambique,11269,-14.443372017600000,40.639829906499997
11270,1326,1326 Mozambique,11270,-14.473694332499999,40.675826661400002
11271,1327,1327 Mozambique,11271,-14.686223147700000,40.845380249599998
11272,1328,1328 Mozambique,11272,-13.957839274299999,40.637960177099998
11273,1329,1329 Mozambique,11273,-13.466710268700000,40.546261028300002
11274,1320,1320 Mozambique,11274,-17.186504369500000,38.364345710700000
11275,1321,1321 Mozambique,11275,-16.129778024600000,40.062990156399998
11276,9401,9401 Mozambique,11276,-16.349592819500000,39.908703958499999
11277,1322,1322 Mozambique,11277,-15.115278224300001,40.607498176299998
11278,1323,1323 Mozambique,11278,-15.042402724500000,40.729166038199999
11279,1311,1311 Mozambique,11279,-18.964426001100001,35.901746846599998
11280,1312,1312 Mozambique,11280,-18.485847952099999,36.577641992499998
11281,1313,1313 Mozambique,11281,-17.996867160800001,36.919786459400001
11282,1314,1314 Mozambique,11282,-17.939490212500001,36.863997010900000
11283,1315,1315 Mozambique,11283,-17.966457347799999,36.937500006100002
11284,1316,1316 Mozambique,11284,-17.991073589300001,36.970184332300001
11285,1317,1317 Mozambique,11285,-18.001100907600001,36.984380971500002
11286,1318,1318 Mozambique,11286,-17.995949726100001,36.993124014400003
11287,1319,1319 Mozambique,11287,-17.715393110600001,37.278614881499998
11288,1307,1307 Mozambique,11288,-20.246018214500001,34.738450009499999
11289,1308,1308 Mozambique,11289,-19.702892738100001,34.724852275200000
11290,1309,1309 Mozambique,11290,-19.829745918299999,34.836407975999997
11291,1310,1310 Mozambique,11291,-19.539134557000001,35.315808667299997
11292,1306,1306 Mozambique,11292,-20.965887051599999,35.110439306200000
11293,1295,1295 Mozambique,11293,-25.084946875400000,33.796237083000001
11294,1303,1303 Mozambique,11294,-24.485924738700000,35.196161307600001
11295,1288,1288 Mozambique,11295,-25.556718791900000,32.864389302600003
11296,1289,1289 Mozambique,11296,-25.854028612699999,32.696488239600001
11297,1290,1290 Mozambique,11297,-25.892045006000000,32.680708445500002
11298,1291,1291 Mozambique,11298,-25.912316306600001,32.662273411800001
11299,1292,1292 Mozambique,11299,-25.952715445500001,32.617653594399997
11300,1293,1293 Mozambique,11300,-26.021536099599999,32.601085451000003
11301,1294,1294 Mozambique,11301,-26.454319075899999,32.920734443800001
11302,1296,1296 Mozambique,11302,-23.684366910100000,35.364256054599998
11303,1297,1297 Mozambique,11303,-23.833332998600000,35.341581350600002
11304,1298,1298 Mozambique,11304,-23.923797301099999,35.365244937600004
11305,1299,1299 Mozambique,11305,-23.864314233100000,35.395770381799998
11306,1300,1300 Mozambique,11306,-23.873056394999999,35.422641760200001
11307,1301,1301 Mozambique,11307,-23.877163109000001,35.435264846700001
11308,1302,1302 Mozambique,11308,-23.862956030300001,35.450239187599998
11309,1304,1304 Mozambique,11309,-23.312223417399998,35.480552679399999
11310,1305,1305 Mozambique,11310,-21.994278255600001,35.330081356599997
11311,9383,9383 Mozambique,11311,-21.649741711099999,35.437447837199997
11312,1330,1330 Mozambique,11312,-13.167492933700000,40.575126240300001
11313,1331,1331 Mozambique,11313,-12.600679941899999,40.574778369800001
11314,1332,1332 Mozambique,11314,-12.025981394000000,40.507308344800002
11315,1333,1333 Mozambique,11315,-11.563417956200000,40.433687911900002
11316,1334,1334 Mozambique,11316,-11.209221808500001,40.474462809999999
11317,1235,1235 Namibia,11317,-17.259922008200000,11.753259176500000
11318,1250,1250 Namibia,11318,-28.405516985399998,16.179023577199999
11319,1236,1236 Namibia,11319,-18.153661513300001,11.862938042900000
11320,1237,1237 Namibia,11320,-18.979330525700000,12.490698865500001
11321,1238,1238 Namibia,11321,-19.403238634000001,12.700493277200000
11322,1239,1239 Namibia,11322,-19.568250938199999,12.793390828700000
11323,1240,1240 Namibia,11323,-20.076874179000001,13.059323142400000
11324,1241,1241 Namibia,11324,-20.865606642500001,13.405991131600000
11325,1242,1242 Namibia,11325,-21.411697417799999,13.794934543800000
11326,1243,1243 Namibia,11326,-22.022415505100000,14.198562930600000
11327,1244,1244 Namibia,11327,-22.443613034900000,14.463888163700000
11328,1245,1245 Namibia,11328,-22.716657600400001,14.528648176000001
11329,1246,1246 Namibia,11329,-23.247112456499998,14.484134764100000
11330,1247,1247 Namibia,11330,-24.355556976500001,14.568216410700000
11331,1248,1248 Namibia,11331,-26.007786636599999,14.966555579400000
11332,1249,1249 Namibia,11332,-27.608460611600002,15.506264503600001
11333,12090,12090 New Zealand,11333,-35.297260871699997,173.608187528000002
11334,12083,12083 New Zealand,11334,-36.171715137000000,174.071932274999995
11335,12084,12084 New Zealand,11335,-36.647690580599999,174.395516458999992
11336,12091,12091 New Zealand,11336,-35.729137066600003,174.354086805000009
